App 					Illuminate\Foundation\Application 			app
Artisan 				Illuminate\Console\Application 				artisan
Auth 					Illuminate\Auth\AuthManager 				auth
Auth (Instance) 		Illuminate\Auth\Guard
Blade 					Illuminate\View\Compilers\BladeCompiler 	blade.compiler
Cache 					Illuminate\Cache\Repository 				cache
Config 					Illuminate\Config\Repository 				config
Cookie 					Illuminate\Cookie\CookieJar 				cookie
Crypt 					Illuminate\Encryption\Encrypter 			encrypter
DB 						Illuminate\Database\DatabaseManager 		db
DB (Instance) 			Illuminate\Database\Connection
Event 					Illuminate\Events\Dispatcher 				events
File 					Illuminate\Filesystem\Filesystem 			files
Form 					Illuminate\Html\FormBuilder 				form
Hash 					Illuminate\Hashing\HasherInterface 			hash
HTML 					Illuminate\Html\HtmlBuilder 				html
Input 					Illuminate\Http\Request 					request
Lang 					Illuminate\Translation\Translator 			translator
Log 					Illuminate\Log\Writer 						log
Mail 					Illuminate\Mail\Mailer 						mailer
Paginator 				Illuminate\Pagination\Factory 				paginator
Paginator (Instance) 	Illuminate\Pagination\Paginator
Password 				Illuminate\Auth\Reminders\PasswordBroker 	auth.reminder
Queue 					Illuminate\Queue\QueueManager 				queue
Queue (Instance) 		Illuminate\Queue\QueueInterface
Queue (Base Class) 		Illuminate\Queue\Queue
Redirect 				Illuminate\Routing\Redirector 				redirect
Redis 					Illuminate\Redis\Database 					redis
Request 				Illuminate\Http\Request 					request
Response 				Illuminate\Support\Facades\Response
Route 					Illuminate\Routing\Router 					router
Schema 					Illuminate\Database\Schema\Blueprint
Session 				Illuminate\Session\SessionManager 			session
Session (Instance) 		Illuminate\Session\Store
SSH 					Illuminate\Remote\RemoteManager 			remote
SSH (Instance) 			Illuminate\Remote\Connection
URL 					Illuminate\Routing\UrlGenerator 			url
Validator 				Illuminate\Validation\Factory 				validator
Validator (Instance) 	Illuminate\Validation\Validator
View 					Illuminate\View\Factory 					view
View (Instance) 		Illuminate\View\View
